Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
16.0354,9.1126,36.4146,96.6835,0
15.6591,9.1491,36.4162,96.6835,0
16.4326,19.0255,36.4155,96.6835,0
18.3844,13.4506,36.4165,96.6835,0
9.714,1.1815,36.4153,96.6835,0
13.9559,9.2508,36.4164,96.6835,0
15.9328,9.0997,36.4175,96.6835,0
15.8373,13.7821,36.4196,96.6835,0
9.9579,0.9187,36.4188,96.6835,0
10.174,0.6694,36.4199,96.6835,0
10.2048,0.6894,36.4209,96.6835,0
10.1732,6.6926,36.4221,96.6835,0
14.0986,3.3272,36.4209,96.6835,0
9.3557,3.4104,36.422,96.6835,0
11.9197,9.0003,36.4231,96.6835,0
18.5944,22.0749,36.4247,96.6835,0
14.7117,17.9816,36.4228,96.6835,0
14.7596,9.5963,36.4249,96.6835,0
10.6987,9.5626,36.4265,96.6835,0
18.2959,8.7801,36.4247,96.6836,0
17.4482,12.4746,36.4258,96.6836,0
16.0633,26.1202,36.427,96.6836,0
19.2933,26.7135,36.4256,96.6836,0
16.806,21.2005,36.4267,96.6836,0
13.2705,32.569,36.4288,96.6836,0
16.0489,12.8727,36.4299,96.6836,0
9.2065,0.6413,36.4286,96.6836,0
9.2138,0.8535,36.4297,96.6836,0
9.2262,0.6466,36.4308,96.6836,0
9.2185,0.6442,36.4319,96.6836,0
20.0266,26.7048,36.4306,96.6836,0
11.6411,2.7042,36.4317,96.6836,0
8.6674,0.728,36.4328,96.6836,0
8.7288,2.146,36.4344,96.6836,0
17.7735,8.9791,36.4341,96.6836,0
17.4219,8.9489,36.4358,96.6836,0
12.6703,4.2865,36.4368,96.6836,0
9.999,2.5496,36.4389,96.6836,0
10.087,0.7027,36.4409,96.6836,0
17.9171,14.2856,36.442,96.6836,0
17.006,9.3945,36.4432,96.6836,0
13.6886,6.9668,36.4447,96.6836,0
9.8561,0.7764,36.4428,96.6836,0
9.869,9.794,36.444,96.6836,0
15.4013,7.5219,36.445,96.6836,0
9.1795,0.6833,36.4436,96.6836,0
9.1781,2.1713,36.4456,96.6836,0
10.038,12.0531,36.4468,96.6836,0
10.9214,17.2083,36.4465,96.6836,0
18.9868,26.7616,36.4472,96.6836,0
15.3678,11.7179,36.4483,96.6836,0
9.3805,0.5933,36.4493,96.6836,0
